"ID","Descripcion","Esperado","Obtenido","Resultado","Observaciones"
"CP-01","Registro exitoso (crea hogar + admin)","200 LoginResponse","200","PASO","Rol=Admin, IdHogar=1"
"CP-02","Registro con correo duplicado","409 Conflict","409","PASO","{""message"":""El correo ya está registrado.""}"
"CP-03","Registro con campos faltantes","400 BadRequest","400","PASO",""
"CP-04","Registro con contrasena corta (<6)","400 MinLength(6)","400","PASO",""
"CP-05","Login exitoso","200 con Token","200","PASO",""
"CP-06","Login con password incorrecto","401 Unauthorized","401","PASO","{""message"":""Credenciales incorrectas.""}"
"CP-07","Login con correo inexistente","401 Unauthorized","401","PASO",""
"CP-08","Estructura del JWT (claims + expiracion 8h)","claims completos, 28800s","vida=1787647611s, faltan=[role]","FALLO","claims: idUsuario=1, idHogar=1, role=, email=carlos.h01@demo-test.com"
"CP-09","Expiracion del JWT (token vencido)","401 Unauthorized","401","PASO","token fabricado con clave dev, exp=-2h"
"CP-10","Acceso sin token","401 Unauthorized","401","PASO",""
"CP-11","Acceso con token alterado (firma invalida)","401 Unauthorized","401","PASO",""
"CP-12","Consultar mi hogar","200 IdHogar=1","200","PASO","{""idHogar"":1,""nombreFamiliar"":""Familia Gonzalez HU01"",""fechaCreacion"":""2026-08-25T00:46:50.5942790Z""}"
"CP-13","Consultar hogar sin token","401 Unauthorized","401","PASO",""
"CP-14","Editar nombre del hogar (Admin)","204 No Content","204","PASO",""
"CP-15","Editar nombre del hogar (Miembro)","esperado-spec: 403 / segun-codigo: 204","204","PASO","RESULTADO REAL: 204. Un Miembro SI pudo renombrar el hogar -> confirma hallazgo (bug si spec exige Admin)."
"CP-16","Editar hogar ajeno (id=2 con token de otro hogar)","404 NotFound","404","PASO",""
"CP-17","Eliminar hogar sin ser Admin (Miembro)","403 Forbidden","403","PASO",""
"CP-18","Eliminar hogar siendo Admin","204 No Content","204","PASO",""
"CP-19","Listar miembros de mi hogar","200 ordenado por nombre","200","PASO","miembros: Ana Gonzalez, Carlos Gonzalez"
"CP-20","Agregar miembro (Admin)","201 Created","201","PASO","Ana Gonzalez id=2 (ejecutado antes de CP-12 por dependencia)"
"CP-21","Agregar miembro con correo duplicado","409 Conflict","409","PASO","{""message"":""El correo ya está registrado.""}"
"CP-22","Agregar miembro sin ser Admin (Miembro)","403 Forbidden","403","PASO",""
"CP-23","Editar rol de un miembro (Admin)","204 y Rol=Admin","204","PASO","Rol verificado en BD: Miembro Admin Admin"
"CP-24","Editar rol sin ser Admin (Miembro)","403 Forbidden","403","PASO",""
"CP-25","Eliminar miembro (Admin)","204 No Content","204","PASO",""
"CP-26","Intentar eliminarse a si mismo (Admin)","400 BadRequest","400","PASO","{""message"":""No puedes eliminar tu propio usuario.""}"
"CP-27","Eliminar miembro sin ser Admin (Miembro)","403 Forbidden","403","PASO",""
