"ID","Descripcion","Esperado","Obtenido","Resultado","Observaciones"
"FP-01","Listar movimientos sin filtros","200, 30, solo hogar, fecha desc","count=30 soloA=True orden=True","PASO",""
"FP-02","Filtrar por categoria","200, solo cat alim","count=10 soloCat=True","PASO",""
"FP-03","Filtrar por categoria inexistente","200 con lista vacia","count=0","PASO",""
"FP-04","Filtrar por tipo","200, solo Gasto (15)","count=15 soloTipo=True","PASO",""
"FP-05","Filtrar por tipo en minusculas","comportamiento real: vacio","count=0","PASO","CONFIRMAR-CON-EQUIPO: comparacion sensible a mayusculas"
"FP-06","Filtro combinado categoria+tipo","200, interseccion","count=5 ok=True","PASO",""
"FP-07","Aislamiento por hogar (movi ajeno sembrado en B)","200, solo hogar A","count=30 soloHogar=True","PASO",""
"FP-08","Filtrar por anio y mes","200, solo 2026-09","count=4 soloMes=True","PASO",""
"FP-09","Filtrar solo por anio","comportamiento real: todos (10)","count=10","PASO","CONFIRMAR-CON-EQUIPO: filtro se ignora sin mes"
"FP-10","Filtrar solo por mes","comportamiento real: todos (10)","count=10","PASO","CONFIRMAR-CON-EQUIPO: filtro se ignora sin anio"
"FP-11","Filtrar sin coincidencias","200, lista vacia","count=0","PASO",""
"FP-12","Aislamiento por hogar y orden MesAnio desc","200, 10, solo hogar, desc","count=10 soloHogar=True orden=True","PASO",""
"FP-13","Movimientos con page/pageSize","comportamiento real: todos (30)","count=30","PASO","CONFIRMAR-CON-EQUIPO: sin paginacion, params ignorados"
"FP-14","Presupuestos con page/pageSize","comportamiento real: todos (10)","count=10","PASO","CONFIRMAR-CON-EQUIPO"
"FP-15","Categorias con page/pageSize","comportamiento real: todas (3)","count=3 soloHogar=True","PASO","CONFIRMAR-CON-EQUIPO"
"FP-16","Metas de ahorro (3 sembradas)","200, las 3 completas","count=3","PASO","CONFIRMAR-CON-EQUIPO: no hay total/paginas en la respuesta"
"FP-17","Params invalidos de paginacion","200 (todos) o 400 (binding)","HTTP 200 count=30","PASO","CONFIRMAR-CON-EQUIPO: no existe contrato de paginacion"
